"","Date","BTC","LTC","XRP","DOGE","XLM","ETH","TRX","ADA","SOL","DOT"
"1",2021-01-01,29374.15188907,126.23034575,0.23744438,0.00568496,0.13240799,730.36756913,0.02693957,0.17534993,1.84208404,8.30681869
"2",2021-01-02,32127.26793922,136.94489094,0.22165492,0.01061451,0.12782007,774.53496804,0.02721922,0.1774225,1.79927479,9.20883657
"3",2021-01-03,32782.02446581,160.19058561,0.22584819,0.00977052,0.13642297,975.50767291,0.02949452,0.20499536,2.16175192,10.03328252
"4",2021-01-04,31971.91352155,154.80732008,0.23667712,0.00976719,0.16518009,1040.23304833,0.03085277,0.22476238,2.48509738,9.46961118
"5",2021-01-05,33992.42934365,158.59477629,0.22675012,0.0099204,0.19482343,1100.00609944,0.0286322,0.25831365,2.15721704,9.70165565
"6",2021-01-06,36824.36441009,169.01692345,0.25089517,0.01046514,0.34079313,1207.11223389,0.0305147,0.33189849,1.92921661,10.09606799
"7",2021-01-07,39371.04235311,169.61595798,0.32600198,0.00974244,0.31579685,1225.67813488,0.03106756,0.2999797,2.37274497,9.64458538
"8",2021-01-08,40797.61071993,173.27987445,0.32322959,0.00984637,0.30283606,1224.19714489,0.03061259,0.30559684,3.21988746,9.30713511
"9",2021-01-09,40254.54649816,177.4839356,0.32691622,0.01019416,0.31193549,1281.07729102,0.03402566,0.33297284,3.38538175,9.77776543
"10",2021-01-10,38356.43950662,171.11484357,0.31833641,0.00985959,0.28874908,1262.24666381,0.03293481,0.3048953,3.46611077,9.30504759
"11",2021-01-11,35566.65594049,139.25223125,0.28890503,0.00883453,0.27223839,1090.14537315,0.02896345,0.27546555,3.10808978,8.27643995
"12",2021-01-12,33922.9605815,132.63591652,0.29212313,0.00806287,0.2817427,1043.43458391,0.02855788,0.28700303,3.61339822,8.26414763
"13",2021-01-13,37316.35939997,147.42134739,0.30557979,0.00861635,0.30402207,1130.73940242,0.03019611,0.31360895,3.51378151,10.95771005
"14",2021-01-14,39187.32812109,152.08457372,0.29543791,0.00939673,0.30261974,1218.45297846,0.03000966,0.31039577,3.27816427,14.5390503
"15",2021-01-15,36825.36585131,144.23754971,0.2804055,0.00936903,0.28494095,1171.83461074,0.0297898,0.30253033,3.25016139,13.21238089
"16",2021-01-16,36178.13890106,144.26541965,0.28018836,0.00926465,0.29201915,1233.53756838,0.03015329,0.352444,3.44705468,18.18042437
"17",2021-01-17,35791.27792129,142.43082129,0.27738365,0.00906651,0.3035661,1230.17227237,0.03014067,0.37985223,3.8181391,16.98425436
"18",2021-01-18,36630.07568284,152.14408514,0.28476919,0.0091711,0.30361074,1257.27950247,0.03161753,0.37142786,3.79551495,16.51292725
"19",2021-01-19,36069.80639361,153.48742764,0.2943137,0.0090982,0.29940454,1377.29584154,0.0307922,0.36913696,3.64186566,16.46850969
"20",2021-01-20,35547.7508855,149.93142516,0.29651801,0.00906009,0.29435071,1382.27409433,0.03050712,0.37539388,3.72357809,17.94893082
"21",2021-01-21,30825.69850603,130.13350488,0.26894641,0.00816632,0.25260259,1121.57091957,0.02770436,0.31020871,2.9905359,15.94483794
"22",2021-01-22,33005.76356216,137.27145938,0.27279859,0.0085235,0.27050141,1236.51220729,0.02863758,0.34957651,3.34622852,17.16144057
"23",2021-01-23,32067.64288212,137.75099018,0.27182148,0.00857912,0.26975519,1230.99063605,0.02918687,0.34564349,3.50411155,18.59819899
"24",2021-01-24,32289.37808687,141.47731078,0.2735085,0.00872708,0.27155645,1391.60940757,0.03002034,0.35388104,3.63441116,17.99964968
"25",2021-01-25,32366.39304887,137.44420046,0.26908877,0.00838293,0.26217866,1324.414778,0.02955827,0.34388601,3.69998081,17.25045506
"26",2021-01-26,32569.84955679,134.75526433,0.26882663,0.00825458,0.26156682,1357.0581398,0.02951282,0.34423363,4.04734996,17.11776161
"27",2021-01-27,30432.54707881,122.94947331,0.25194347,0.0074815,0.23907035,1253.18713315,0.02832495,0.31308042,3.69058715,15.50486144
"28",2021-01-28,33466.09635821,133.48693077,0.26412208,0.03408356,0.29224121,1332.49224455,0.02964784,0.3461287,3.82207194,16.9449327
"29",2021-01-29,34316.38765032,135.01257048,0.28218765,0.04716157,0.29467435,1382.52281244,0.03329551,0.3481311,3.83467598,16.8416124
"30",2021-01-30,34269.52154165,133.40001778,0.44024444,0.02817592,0.32486617,1376.11553895,0.03202773,0.36261874,4.22427558,16.50690794
"31",2021-01-31,33114.35774753,129.5708153,0.49231408,0.03719621,0.30570228,1314.9862286,0.03160317,0.34489765,4.26414404,16.12131511
"32",2021-02-01,33537.1768196,131.95193202,0.37150866,0.03487468,0.32183469,1369.04046855,0.03292715,0.40203323,4.61160184,16.37577622
"33",2021-02-02,35510.28903716,142.50697498,0.36927,0.03152025,0.33662008,1515.19376962,0.03315322,0.42624709,5.2675076,17.26325602
"34",2021-02-03,37472.09010368,155.61203291,0.39348981,0.03712003,0.34215116,1660.909542,0.03443866,0.44139965,5.71598986,20.73365167
